"Cluster","Volume","Type","StartTime","EndTime","BackupSize"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_03","Incr","Thu Apr 28 01:01:04 BST 2022","Thu Apr 28 01:02:18 BST 2022","2648 MB, 73 secs, 36 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/gm_prd_data15p6","Incr","Thu Apr 28 01:01:24 BST 2022","Thu Apr 28 01:17:18 BST 2022","75206 MB, 954 secs, 78 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/gm_prd_data14p6","Incr","Thu Apr 28 03:01:05 BST 2022","Thu Apr 28 01:17:18 BST 2022","75206 MB, 954 secs, 78 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/gm_prd_data6p3dg","Incr","Thu Apr 28 19:00:48 BST 2022","Thu Apr 28 19:00:51 BST 2022","6 MB, 2 secs, 3 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/gm_prd_data13p6","Incr","Thu Apr 28 19:01:10 BST 2022","Thu Apr 28 19:25:54 BST 2022","29636 MB, 1483 secs, 19 MBps"
"loncdcnasmcp01","/loncdcmcp1svm7/loncdcmcp1svm7_data_001_smb","Incr","Thu Apr 28 19:30:42 BST 2022","Thu Apr 28 19:38:38 BST 2022","17099 MB, 475 secs, 35 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_16_secops","Incr","Thu Apr 28 19:31:01 BST 2022","Thu Apr 28 19:39:24 BST 2022","32241 MB, 503 secs, 64 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_14","Incr","Thu Apr 28 19:31:14 BST 2022","Thu Apr 28 20:29:42 BST 2022","80079 MB, 3507 secs, 22 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_12","Incr","Thu Apr 28 20:00:45 BST 2022","Thu Apr 28 20:23:09 BST 2022","100753 MB, 1344 secs, 74 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_11","Incr","Thu Apr 28 20:00:48 BST 2022","Thu Apr 28 20:00:48 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/longmdnfsv12","Incr","Thu Apr 28 20:01:09 BST 2022","Thu Apr 28 20:29:37 BST 2022","111506 MB, 1708 secs, 65 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/uk_dr_test1","Incr","Thu Apr 28 20:30:44 BST 2022","Thu Apr 28 20:30:44 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_13","Incr","Thu Apr 28 20:31:03 BST 2022","Thu Apr 28 20:54:40 BST 2022","95591 MB, 1417 secs, 67 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_09","Incr","Thu Apr 28 21:01:19 BST 2022","Thu Apr 28 20:54:40 BST 2022","95591 MB, 1417 secs, 67 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_04","Incr","Thu Apr 28 21:01:21 BST 2022","Thu Apr 28 21:01:21 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_02","Incr","Thu Apr 28 21:01:21 BST 2022","Thu Apr 28 21:07:38 BST 2022","31790 MB, 377 secs, 84 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_06","Incr","Thu Apr 28 21:01:21 BST 2022","Thu Apr 28 21:01:22 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_08","Incr","Thu Apr 28 21:01:41 BST 2022","Thu Apr 28 21:01:41 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm2/loncdcmcp1svm2_data_01","Incr","Thu Apr 28 21:01:41 BST 2022","Thu Apr 28 21:01:41 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm6/loncdcmcp1svm6_data_01","Incr","Thu Apr 28 21:01:41 BST 2022","Thu Apr 28 21:01:41 BST 2022","0 MB, 0 secs, 0 MBps"
"loncdcnasmcp01","/loncdcmcp1svm3/loncdcmcp1svm3_data_02","Incr","Thu Apr 28 21:30:59 BST 2022","Thu Apr 28 21:34:45 BST 2022","10451 MB, 225 secs, 46 MBps"
"loncdcnasmcp01","/loncdcmcp1svm1/gm_prd_data5p3","Incr","Thu Apr 28 21:31:20 BST 2022","Thu Apr 28 21:46:53 BST 2022","51658 MB, 933 secs, 55 MBps"
