"Cluster","Volume","Type","StartTime","EndTime","BackupSize"
"sinkdcnasmcp01","/sinkdcmcp1svm3/sinkdcmcp1svm3_data_02","Incr","Thu Apr 16 23:00:45 +08 2020","Thu Apr 16 23:00:47 +08 2020","419 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm3/sinkdcmcp1svm3_data_01","Incr","Thu Apr 16 23:01:05 +08 2020","Thu Apr 16 23:05:12 +08 2020","15283 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm4/prod_dbarrt_appsx","Incr","Thu Apr 16 02:01:28 +08 2020","Thu Apr 16 02:05:45 +08 2020","31574 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/prod_fssw","Incr","Thu Apr 16 02:01:28 +08 2020","Thu Apr 16 02:01:29 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/prod_mobileapp","Incr","Thu Apr 16 02:01:28 +08 2020","Thu Apr 16 02:01:29 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/prod_ingest01","Incr","Thu Apr 16 02:01:28 +08 2020","Thu Apr 16 02:01:29 +08 2020","78 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/prod_pub","Incr","Thu Apr 16 02:01:28 +08 2020","Thu Apr 16 02:01:29 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm4/prod_P8data04","Incr","Thu Apr 16 06:01:06 +08 2020","Thu Apr 16 06:01:06 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/prod_P8data01","Incr","Thu Apr 16 06:01:27 +08 2020","Thu Apr 16 06:01:28 +08 2020","21 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/prod_P8data02","Incr","Thu Apr 16 06:01:27 +08 2020","Thu Apr 16 06:01:27 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm4/prod_P8data03","Incr","Thu Apr 16 06:01:27 +08 2020","Thu Apr 16 06:01:27 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm4/sgnfshomep1","Incr","Thu Apr 16 09:01:11 +08 2020","Thu Apr 16 09:01:11 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/tsmbackup01","Incr","Thu Apr 16 09:01:17 +08 2020","Thu Apr 16 09:04:20 +08 2020","23232 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm4/prod_pub","Incr","Thu Apr 16 09:01:30 +08 2020","Thu Apr 16 09:01:30 +08 2020","0 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm4/prod_shared","Incr","Thu Apr 16 09:01:39 +08 2020","Thu Apr 16 09:05:03 +08 2020","1853 MB"
"sinkdcnasmcp01","/sinkdcmcp1svm1/riskengineprod","Incr","Thu Apr 16 09:01:59 +08 2020","Thu Apr 16 09:11:07 +08 2020","50601 MB"
"loncdcnasmcp01","/loncdcmcp1svm1/longmdnfsv12","Incr","Thu Apr 16 20:00:58 BST 2020","Thu Apr 16 20:11:43 BST 2020","97624 MB"
"loncdcnasmcp01","/loncdcmcp1svm1/uk_dr_test1","Incr","Thu Apr 16 20:30:58 BST 2020","Thu Apr 16 20:30:58 BST 2020","0 MB"
"loncdcnasmcp01","/loncdcmcp1svm2/loncdcmcp1svm2_data_01","Incr","Thu Apr 16 21:00:59 BST 2020","Thu Apr 16 21:00:59 BST 2020","0 MB"
"loncdcnasmcp01","/loncdcmcp1svm3/loncdcmcp1svm3_data_02","Incr","Thu Apr 16 21:31:00 BST 2020","Thu Apr 16 21:31:00 BST 2020","0 MB"
"loncdcnasmcp01","/loncdcmcp1svm3/loncdcmcp1svm3_data_01","Incr","Thu Apr 16 21:00:59 BST 2020","Thu Apr 16 21:25:57 BST 2020","252512 MB"
"loncdcnasmcp01","/loncdcmcp1svm4/longmdnfsv11","Incr","Thu Apr 16 21:31:01 BST 2020","Thu Apr 16 21:41:50 BST 2020","13191 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm4/gm_prd_data3p3","Incr","Thu Apr 16 21:01:02 BST 2020","Thu Apr 16 21:10:15 BST 2020","101102 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm3/lonwdcmcp1svm3_data_04","Incr","Thu Apr 16 21:01:23 BST 2020","Thu Apr 16 22:32:06 BST 2020","794383 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm4/gm_prd_app3p3","Incr","Thu Apr 16 21:01:26 BST 2020","Thu Apr 16 21:20:02 BST 2020","161951 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm5/lonwdcmcp1svm5_data_01","Incr","Thu Apr 16 22:01:07 BST 2020","Thu Apr 16 22:01:07 BST 2020","0 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data2dg","Incr","Thu Apr 16 21:01:07 BST 2020","Thu Apr 16 21:01:07 BST 2020","0 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data1p5","Incr","Thu Apr 16 21:01:29 BST 2020","Thu Apr 16 21:02:05 BST 2020","171 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm3/lonwdcmcp1svm3_data_01","Incr","Thu Apr 16 21:31:27 BST 2020","Thu Apr 16 21:31:27 BST 2020","0 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data5p5","Incr","Thu Apr 16 21:31:27 BST 2020","Thu Apr 16 21:31:29 BST 2020","4 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data4dg","Incr","Thu Apr 16 21:31:27 BST 2020","Thu Apr 16 21:31:28 BST 2020","0 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm3/lonwdcmcp1svm3_data_02","Incr","Thu Apr 16 21:31:27 BST 2020","Thu Apr 16 21:37:56 BST 2020","57244 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data3p5","Incr","Thu Apr 16 21:31:28 BST 2020","Thu Apr 16 21:31:44 BST 2020","72 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm3/lonwdcmcp1svm3_data_03","Incr","Thu Apr 16 22:01:07 BST 2020","Thu Apr 16 22:01:08 BST 2020","0 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data9p5","Incr","Thu Apr 16 22:01:28 BST 2020","Thu Apr 16 22:01:29 BST 2020","0 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data6p5","Incr","Thu Apr 16 22:01:29 BST 2020","Thu Apr 16 22:01:35 BST 2020","28 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data8p5","Incr","Thu Apr 16 22:01:49 BST 2020","Thu Apr 16 22:02:03 BST 2020","54 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/gm_prd_data7p5","Incr","Thu Apr 16 22:01:57 BST 2020","Thu Apr 16 22:03:28 BST 2020","421 MB"
"lonwdcnasmcp01","/lonwdcmcp1svm1/backuptest1","Incr","Thu Apr 16 22:31:06 BST 2020","Thu Apr 16 22:31:06 BST 2020","0 MB"
"fradcbnasmcp01","/fradcbmcp1svm3/fradcbmcp1svm3_data_01","Full","Thu Apr 16 06:54:23 CEST 202","Thu Apr 16 06:54:23 CEST 202","0 MB"
"fradcbnasmcp01","/fradcbmcp1svm4/fragfsp1data11","Incr","Thu Apr 16 21:00:52 CEST 202","Thu Apr 16 21:15:09 CEST 202","204899 MB"
"fradcnnasmcp01","/fradcnmcp1svm3/fradcnmcp1svm3_data_01","Incr","Thu Apr 16 15:00:51 CEST 202","Thu Apr 16 15:17:12 CEST 202","70594 MB"
